"Job_ID","Company","Role","Location","Experience","Priority","Strategy","Posted_Date","Openings_Count","Applicant_Count","Competition_Status","Resume_Match_Score","Company_Strength","Apply_URL"
"PRI_001","SheThink (Shethink Pvt Ltd)","React JS Developer","Indore (also mentions remote opportunity)","1 - 3 years (JD text: at least 1 Year - 3 Years)","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort scrape","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://cutshort.io/job/React-JS-Developer-Indore-SheThink-pkh3jjX5"
"PRI_002","ThinkDebug","Junior Next JS Developer / React.js Next.js Developer","Indore (In person)","Not Mentioned (title says Junior)","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Glassdoor scrape","1 Position","< 50 Applicants","Low Competition (Golden Target)","95%","Strong","https://www.glassdoor.co.in/job-listing/junior-next-js-developer-thinkdebug-JV_KO0,24_KE25,35.htm?jl=1010198215616"
"PRI_003","Technogiq IT Solutions Pvt. Ltd.","REACT DEVELOPER","Indore","1 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 2 weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-developer-technogiq-it-solutions-pvt-ltd-indore-1-to-2-years-240726501878"
"PRI_004","Clumpcoder","Frontend Developer","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of scrape 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-clumpcoder-indore-0-to-1-years-200126505068"
"PRI_005","Bellway Infotech","React. JS Professionals","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of scrape 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-professionals-bellway-infotech-indore-0-to-1-years-021225505063"
"PRI_006","Winlancer Technologies Pvt Ltd","React Js Developer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://cutshort.io/job/React-Js-Developer-Indore-Winlancers-Technologies-6Sb0Psfm"
"PRI_007","Gammastack","React Js Developer","Indore","1 - 4 years","HIGH","TIER 1 (High Openings - Top Target)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","7 Positions","100+ Applicants","Mass Hiring Drive","91%","Strong","https://www.naukri.com/job-listings-react-js-developer-gammastack-indore-1-to-4-years-210823500187"
"PRI_008","Jmbliss IT Solutions","React Developer","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-developer-jmbliss-it-solutions-indore-0-to-1-years-240626506054"
"PRI_009","Terbaiks Innovative Solutions LLP","ReactJS Developer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-reactjs-developer-terbaiks-innovative-solutions-llp-indore-1-to-3-years-250325503447"
"PRI_010","WebWiders Software Solutions","Frontend Developer","Indore","1–2 years (from search summary)","HIGH","TIER 3 (Focused Target - Direct DM)","2026-03-31 (LinkedIn post age)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.linkedin.com/posts/webwiderssoftwaresolutions_hiring-frontenddeveloper-reactjs-activity-7444672126621741056-Y31i"
