Title,Company,Location,Real_Date_Posted,Real_Min_YOE,Apply_URL
"Founding Frontend Engineer: Own End-to-End AI UI","Socket.dev","San Francisco, CA","2026-08-10","not specified","https://bebee.com/us/jobs/founding-frontend-engineer-own-end-to-end-ai-ui-socketdev-san-francisco--pureheal-28528_23106_78a633ed2c634e86f19d94fb2703c52f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Front End Entry Level","Safeway","Pleasanton, CA","2026-08-12","not specified","https://www.linkedin.com/jobs/view/front-end-entry-level-at-safeway-4453007511?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"React Developer","Lumenalta","Tulsa, OK","2026-08-09","not specified","https://bebee.com/us/jobs/react-developer-lumenalta-tulsa--lensa-7428_26bb80198b02d35500452306437b5f86418927c5baf4fd6b917c5d56b1d66a56?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"React UI Engineer – Web & Mobile, Redux & Cloud","Robotics Technologies LLC","Bentonville, AR","2026-08-10","not specified","https://bebee.com/us/jobs/react-ui-engineer-web-mobile-redux-cloud-robotics-technologies-llc-bentonville--pureheal-28528_23106_352384ca8a4589d6e0bbb150f1397560?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"React Web","Ethereum Technologies LLC","Bentonville, AR","2026-08-10","not specified","https://us.trabajo.org/job-28652-85c0fb6fb620b3459161b274ed8634cb?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"React Native Mobile Engineer","Neutrino Advisory, an Inc 5000 Company","Bentonville, AR","2026-08-10","not specified","https://bebee.com/us/jobs/react-native-mobile-engineer-neutrino-advisory-an-inc-5000-company-bentonville--pureheal-28528_25298_07fd41ee6239d7699f30338a1fae8b2d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Agile Software Engineer – UI/API & Prototyping","Midmark Corporation","Blue Ash, OH","2026-08-10","not specified","https://bebee.com/us/jobs/agile-software-engineer-ui-api-prototyping-midmark-corporation-blue-ash--pureheal-28528_23106_c562883501e277b41bf2a194c52195f1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"UI/UX Designer/Engineer, A9 Collaboration (NOVASTAR) Team","Altamira Technologies","Fairborn, OH","2026-08-05","not specified","https://simplify.jobs/p/e27f274f-c359-4f9b-9fb1-4ef142d2cbe4/UIUX-DesignerEngineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"UI Engineer - GEMSTONE Platform (Hybrid)","KBR Careers","Beavercreek, OH","2026-08-10","not specified","https://bebee.com/us/jobs/ui-engineer-gemstone-platform-hybrid-kbr-careers-beavercreek--pureheal-28528_25298_b5950df52b4e54ca5ea3c02b9ab5d453?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"UX Design Engineer for Secure Government Apps","FOTOMILL STUDIOS LIMITED","Fairborn, OH","2026-08-09","not specified","https://bebee.com/us/jobs/ux-design-engineer-for-secure-government-apps-fotomill-studios-limited-fairborn--lensa-7428_585ddb20fea48335f2daabe4528c460d607135cd7920915d207ef543a6e23dc6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Front End Engineer – Nutrition & Feed Tech (Remote)","Coherent Solutions, Inc.","Vermont","2026-08-10","not specified","https://bebee.com/us/jobs/front-end-engineer-nutrition-feed-tech-remote-coherent-solutions-inc--pureheal-28528_23106_e978da8472ec34850fc3b1d3818721ec?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Remote Frontend Engineer — Pixel‑Perfect UI & Design Systems","YO IT Consulting","New York","2026-08-11","not specified","https://bebee.com/us/jobs/remote-frontend-engineer-pixelperfect-ui-design-systems-yo-it-consulting-town-of-poland--pureheal-28528_25298_71604e445a59a5c95bf745f694ddfdbe?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Application Developer - JavaScript","Esri","Redlands, CA","2026-08-07","2","https://www.esri.com/careers/5197137007?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
