priority,title,company,location,work_mode,age_days,experience_required,salary,source,url,notes
1,React JS Developer,Bestpeers,"Indore, MP",On-site,,1-5 yrs,,google-jobs,https://bestpeers.com/jobs/react-js-developer/,POSTING DATE NOT AVAILABLE - not verified as <72h
1,React Js Developer,She Think Pvt. Ltd.,"Indore, MP",On-site,,1-3 yrs,INR 2-8 LPA,google-jobs,https://cutshort.io/job/React-Js-Developer-Indore-She-Think-Pvt-Ltd--Tn1I6Hji,POSTING DATE NOT AVAILABLE - not verified as <72h; wants immediate joiner / 15 days
2,React Native Developer,Vedantic Technologies,Remote (India),Remote,2.1,1-3 yrs,INR 14k-65k/mo,jobspipe,https://www.indeed.com/viewjob?jk=954b0a8bb2e4a02d,Apply via hr@vedantictechnologies.com - React Native not web React
2,Freelance Frontend Developer (Landing Pages & Websites),Mindrift,Remote (India),Remote,2.3,,,adzuna,https://www.adzuna.in/details/5837613722,Part-time contract - React/Next.js landing pages
2,Associate Software Engineer,Computo Plus,Remote (India),Remote,1.8,0-2 yrs,INR 3-6 LPA,jobspipe,https://www.indeed.com/viewjob?jk=e309091aa7cf4ce7,Java/Spring backend - NOT frontend
2,Associate Software Developer (React JS),Iron Mountain,India,,0.7,Associate level,,adzuna,https://www.adzuna.in/details/5840369441,Title reads junior; full JD not fetched
6,Associate Frontend Developer,Vinove,"Noida, UP",On-site,1.6,1-2 yrs,,hirebase,https://vinove.keka.com/careers/jobdetails/137625,STRONGEST EXP MATCH - explicit 1-2 yrs frontend
6,Front End Developer,The Web Studio (TWS),"Kozhikode, Kerala",On-site,0.1,0-2 yrs (freshers ok),INR 15-20k/mo,jobspipe,https://www.indeed.com/viewjob?jk=e07aa12df81adc37,Freshers with strong React projects welcome; apply via WhatsApp +919037206737
6,Front End Developer,Andro Buddy Technologies Pvt. Ltd.,"Baner, Pune",On-site,0.3,1+ yr,INR 2.5-5.5 LPA,jobspipe,https://www.indeed.com/viewjob?jk=59ddf9fadede173d,React/Next.js + AI team; F2F interview required
6,Web Developer,MindCode lab pvt. ltd.,"Mohali, Punjab",On-site,0.3,Fresher / 0-6 mo,INR 12-18k/mo,jobspipe,https://www.indeed.com/viewjob?jk=e9405bde24ade1a5,Freshers explicitly welcome; PHP/MySQL leaning
